date,search
2017-12-01,37.59213
2017-12-02,54.1769
2017-12-03,36.36363
2017-12-04,26.16707
2017-12-05,24.07862
2017-12-06,28.74692
2017-12-07,30.95823
2017-12-08,42.62899
2017-12-09,56.01965
2017-12-10,39.68058
2017-12-11,26.41277
2017-12-12,25.79852
2017-12-13,28.50122
2017-12-14,30.95823
2017-12-15,47.17444
2017-12-16,62.40786
2017-12-17,41.76904
2017-12-18,30.95823
2017-12-19,31.57248
2017-12-20,33.90663
2017-12-21,36.48648
2017-12-22,57.49385
2017-12-23,84.88943
2017-12-24,80.22113
2017-12-25,66.58476
2017-12-26,37.71498
2017-12-27,36.24078
2017-12-28,45.82309
2017-12-29,51.10565
2017-12-30,66.70761
2017-12-31,51.9656
2018-01-01,35.25798
2018-01-02,32.80098
2018-01-03,35.99508
2018-01-04,35.50368
2018-01-05,46.56019
2018-01-06,59.95085
2018-01-07,42.13759
2018-01-08,28.13267
2018-01-09,30.22113
2018-01-10,30.83538
2018-01-11,28.99262
2018-01-12,42.99754
2018-01-13,54.914
2018-01-14,43.61179
2018-01-15,31.20393
2018-01-16,30.58968
2018-01-17,36.97788
2018-01-18,37.46928
2018-01-19,44.34889
2018-01-20,66.58476
2018-01-21,45.20884
2018-01-22,28.37837
2018-01-23,32.80098
2018-01-24,28.86977
2018-01-25,32.80098
2018-01-26,36.36363
2018-01-27,50
2018-01-28,39.92628
2018-01-29,26.78132
2018-01-30,29.97542
2018-01-31,32.67813
2018-02-01,36.24078
2018-02-02,47.78869
2018-02-03,62.89926
2018-02-04,34.64373
2018-02-05,26.78132
2018-02-06,32.80098
2018-02-07,35.01228
2018-02-08,30.58968
2018-02-09,49.14004
2018-02-10,57.00245
2018-02-11,36.97788
2018-02-12,32.67813
2018-02-13,25.92137
2018-02-14,31.69533
2018-02-15,30.95823
2018-02-16,25.92137
2018-02-17,42.87469
2018-02-18,33.66093
2018-02-19,25.18427
2018-02-20,31.81818
2018-02-21,36.36363
2018-02-22,34.39803
2018-02-23,48.28009
2018-02-24,70.63882
2018-02-25,47.91154
2018-02-26,39.43488
2018-02-27,33.90663
2018-02-28,37.71498
2018-03-01,51.9656
2018-03-02,42.87469
2018-03-03,58.47665
2018-03-04,36.24078
2018-03-05,23.09582
2018-03-06,28.74692
2018-03-07,26.28992
2018-03-08,30.09828
2018-03-09,46.31449
2018-03-10,67.07616
2018-03-11,40.90909
2018-03-12,26.16707
2018-03-13,25.92137
2018-03-14,34.76658
2018-03-15,27.51842
2018-03-16,50.12285
2018-03-17,69.77886
2018-03-18,38.57493
2018-03-19,25.55282
2018-03-20,28.25552
2018-03-21,24.57002
2018-03-22,33.53808
2018-03-23,51.59705
2018-03-24,62.40786
2018-03-25,40.41769
2018-03-26,25.67567
2018-03-27,24.44717
2018-03-28,29.48402
2018-03-29,26.65847
2018-03-30,38.08353
2018-03-31,54.914
2018-04-01,31.32678
2018-04-02,23.09582
2018-04-03,21.25307
2018-04-04,27.39557
2018-04-05,25.79852
2018-04-06,36.48648
2018-04-07,58.72235
2018-04-08,40.66339
2018-04-09,29.11547
2018-04-10,29.36117
2018-04-11,32.18673
2018-04-12,35.38083
2018-04-13,44.10319
2018-04-14,50.12285
2018-04-15,47.17444
2018-04-16,26.04422
2018-04-17,27.76412
2018-04-18,28.00982
2018-04-19,27.27272
2018-04-20,38.82063
2018-04-21,51.7199
2018-04-22,36.48648
2018-04-23,21.62162
2018-04-24,23.95577
2018-04-25,27.39557
2018-04-26,30.46683
2018-04-27,41.64619
2018-04-28,63.26781
2018-04-29,43.12039
2018-04-30,31.20393
2018-05-01,39.80343
2018-05-02,29.48402
2018-05-03,36.48648
2018-05-04,43.85749
2018-05-05,59.828
2018-05-06,55.6511
2018-05-07,45.57739
2018-05-08,29.48402
2018-05-09,28.50122
2018-05-10,35.13513
2018-05-11,54.54545
2018-05-12,52.57985
2018-05-13,49.75429
2018-05-14,27.39557
2018-05-15,29.72972
2018-05-16,35.74938
2018-05-17,30.22113
2018-05-18,49.87714
2018-05-19,69.53316
2018-05-20,52.08845
2018-05-21,55.52825
2018-05-22,46.92874
2018-05-23,28.99262
2018-05-24,36.73218
2018-05-25,45.94594
2018-05-26,63.75921
2018-05-27,41.15479
2018-05-28,30.46683
2018-05-29,28.99262
2018-05-30,28.37837
2018-05-31,38.45208
2018-06-01,48.28009
2018-06-02,73.95577
2018-06-03,49.14004
2018-06-04,30.83538
2018-06-05,40.90909
2018-06-06,45.70024
2018-06-07,26.28992
2018-06-08,39.80343
2018-06-09,57.49385
2018-06-10,37.59213
2018-06-11,32.06388
2018-06-12,38.57493
2018-06-13,34.39803
2018-06-14,31.81818
2018-06-15,42.13759
2018-06-16,58.23095
2018-06-17,42.13759
2018-06-18,39.18918
2018-06-19,30.22113
2018-06-20,43.48894
2018-06-21,41.52334
2018-06-22,59.0909
2018-06-23,84.76658
2018-06-24,45.57739
2018-06-25,28.86977
2018-06-26,30.71253
2018-06-27,34.76658
2018-06-28,33.04668
2018-06-29,43.61179
2018-06-30,52.82555
2018-07-01,28.62407
2018-07-02,26.41277
2018-07-03,33.90663
2018-07-04,40.54054
2018-07-05,37.34643
2018-07-06,55.28255
2018-07-07,72.60442
2018-07-08,56.1425
2018-07-09,52.57985
2018-07-10,38.20638
2018-07-11,57.24815
2018-07-12,42.99754
2018-07-13,61.91646
2018-07-14,66.58476
2018-07-15,56.26535
2018-07-16,34.76658
2018-07-17,47.17444
2018-07-18,40.29484
2018-07-19,37.71498
2018-07-20,47.91154
2018-07-21,61.30221
2018-07-22,42.50614
2018-07-23,33.41523
2018-07-24,32.92383
2018-07-25,37.83783
2018-07-26,38.45208
2018-07-27,53.31695
2018-07-28,49.01719
2018-07-29,44.96314
2018-07-30,38.20638
2018-07-31,39.68058
2018-08-01,41.76904
2018-08-02,44.47174
2018-08-03,50
2018-08-04,66.33906
2018-08-05,34.64373
2018-08-06,30.71253
2018-08-07,37.96068
2018-08-08,38.82063
2018-08-09,36.24078
