reply,
내색하지않을뿐 많은사람들이 아는거죠. 사고에 가장큰 도덕적 책임이 있는집단은 자치적으로 질서유지할생각없이 유흥객들 돈빨아먹는데만 관심있던 상인들이란걸.,
상인도 책임이 있지,
잘 됐다 상가 상인회 책임져라,
할로윈때 돈뽑아먹을 생각만했지 도로변에 테이블 내놓고 장사해서 더 혼잡을 부추기고 방관한 이태원 상인들도 책임이 있다고 본다.,
이젠 책임질 시간이죠. 참고 견뎌야지 방법이 없습니다,
돈벌 생각만 했지 행사 주관은 안한 이태원 상인회도 책임있죠. 그 전에 지구촌 축제는 상인회에서 주관했다면서요.,
이태원상인들도 책임져야,
마약수사에 157명이나 희생된 책임은 윤석열과 한동훈이 져야 할 것이다.,
이태원 상인들 책임도 크다. 누구보다 인파를 항상 지켜뵜던 사람들이고 안전대책을 강구했어야한다. 하는 거라곤 음악 귀 찢어지게 틀고 음식도 엉터리 음식 바가지 씌우고 돈만 벌기 바빴지. 그게 음식이냐. 와이키킨지 뭔지 클럽은 가게 안으류 피신 들어온 여자들을 그대로 똑같이 들어온 길로  나가라고 쫓아냈다.,
"이번참사 나게한 경찰과 구청이   책임져야지.네놈들의 무관심에의해 참사가났으니 너네가 자주가서팔아주던가해줘야지. 책임져라  ~이밀이지. 이제 저 경사진골목은 영혼의골목이되었네.그리고,전에  압사 ㄴㄴ 즐겁게춤을  이런 네온사인올린가게 어떤가게인지 저집은 망해버려야지돼  가게문 닫으면 박수가절로나올거임 침이라도 뱉고싶은가게지.캬~~~악   퉤~~~.",
이태원가서 죽으면 아무도 책임지질않는데거길 왜가냐~!!!,
인도는 남성혼자서도 여행위험국가인건 다아는 사실인데 여성혼자 뭘믿고 위험국가라고하는곳에 가는건지.. 이건 위함한건알지만 나는 괜찮을꺼야 라는 안일한 안전불감증이 불러온 사건사고.. 얼마전 있었던 그사고도 안전불감증이 불러온대참사가아닐수없지..매년 사람이 몰려서 안전에취하4하다고하는대도 굳이 왜 또 매년 몰려들가는건지..가고싶어서갔으면 위험해보이면 파해야지.. 국가에 책임떠넘기기전에 요즘젊은이들 부터..좀 각성해야한다.. 유족들의 아픔은 충분히 이해는 가지만 그렇다고 좌파들의 정치놀음에 뜬금없는 마녀사냥해서야되겠는가 말이다. 엄연히 젊은이들이 위험지역인것을 알고서도 굳이 그곳을 가서 사고를당한것을.. 외국인조차도 위함을 직감하고 도망치듯피했던장소인데 우리나라젊음이들이라고 몰랐을까?. 설마나는 괜찮을꺼야..무슨일 일어나겠어?.이런 안일한 안전불증이.불러온 대참사가 아닐수없다. 인도 제발좀 혼자여행사지마라 매년 실종야향객이 얼마나되는줄아는가! 설마 내가실종되겠어? 그런맘으러가는건가? 그러고서 또 무슨일생기면 윤석열정부가 잘못한것이라고 마녀사냥할텐가? 각성해라ㅠ 일터지고 남탓아무리해봐야 결국 피해는 다~~ 당신들 목숨이고 당신들 미래인것이다.,
"솔직히 상인들이 제일 나쁨. 통제, 책임은 경찰, 정부에게 떠넘기고, 본인들은 돈 빨아먹는데만 급급했잖아. 쎄하다 싶음 자치적으로 상인들이 통제했어야지. 미디어에서 언급 안하니 입꾹에다 징징거리고 있네 ㅉㅉ 응?? 사람들 다 알고 있다~~ 게다가 사망자 속출하는데 댄스음악 틀고 있고, 건물 안으로 못드가게 막아?? ㅉㅉ",
